COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A: MARZO DE 2024; CON LA INFORMACIÓN SUMINISTRADA POR LAS OFICINAS REGIONALES 

 ESTACIÓN  : 26024 
 NOMBRE    : PRESA ADOLFO RUIZ CORTINEZ -CORTINA- 
 ESTADO    : SONORA 
 MUNICIPIO : ÁLAMOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.24888889 ° 
 LONGITUD  : -109.0583333 ° 
 ALTITUD   : 144 msnm 

EMISIÓN   : 22/03/2024



FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1955-07-22	0	NULO	36.3	NULO
1955-07-23	0	6.9	37.4	27
1955-07-24	23	7.8	38.3	25.1
1955-07-25	42.7	7.35	37	22
1955-07-26	0	5.6	36.8	23
1955-07-27	0	6.6	29.5	23.5
1955-07-28	10	6.45	38	26
1955-07-29	0	6.2	39.1	22.6
1955-07-30	0	5.95	36.3	26.1
1955-07-31	6	7	35.5	23
1955-08-01	0	3.05	32.5	23.6
1955-08-02	10	3.8	35.6	24
1955-08-03	0	5.6	35.8	22.5
1955-08-04	0	5.8	36.7	23
1955-08-05	84	5.9	37	22.8
1955-08-06	0	6.2	37.8	22
1955-08-07	37	7.55	36	22.5
1955-08-08	0	4.9	30	22
1955-08-09	0	5.8	30.5	23.6
1955-08-10	9	7.35	37.2	24
1955-08-11	0	6.95	38.5	22.5
1955-08-12	7	5.15	38.6	25
1955-08-13	1.5	3.15	27	24
1955-08-14	0	2.85	27.2	25.5
1955-08-15	52	2.6	27.5	22.8
1955-08-16	19	5	28.3	21.8
1955-08-17	32.5	6	27.5	22.7
1955-08-18	1.5	3.1	33.5	23
1955-08-19	24.5	4.7	32.5	24
1955-08-20	0	2.3	32	22.6
1955-08-21	4.5	3.55	34.6	24
1955-08-22	45.5	7.2	31.6	24.3
1955-08-23	0	4	34	23.7
1955-08-24	0	5.7	35.5	24
1955-08-25	13.5	7.1	28.5	25
1955-08-26	0	4.1	27	21.5
1955-08-27	1.5	4.4	36.5	24.8
1955-08-28	0	5.25	27.5	23
1955-08-29	0	6.05	26.9	24.5
1955-08-30	0	5.5	32	23.3
1955-08-31	0	7.17	31.3	24
1955-09-01	0	7.07	30	24.5
1955-09-02	0	7	34	25.3
1955-09-03	0	6.15	38	26.3
1955-09-04	0	7.45	29	25.5
1955-09-05	0	6.2	28	26.5
1955-09-06	0	7.85	38.5	26
1955-09-07	0	8	29	24.5
1955-09-08	0	6.5	33.5	24.5
1955-09-09	0	4.2	35.5	26.8
1955-09-10	1.5	3.65	35	26
1955-09-11	0	6.15	39	25
1955-09-12	0	5.2	30	26
1955-09-13	0	6.3	30.8	26
1955-09-14	3	7.1	31	25.5
1955-09-15	0	3.25	27	23.5
1955-09-16	0	1.25	29.5	24.5
1955-09-17	0	5.55	30	23.5
1955-09-18	0	5.95	37.5	25.2
1955-09-19	0	7	38.5	25.8
1955-09-20	0	6.85	36.5	25
1955-09-21	0	6.45	32.5	24
1955-09-22	0	4.25	29	25.7
1955-09-23	0	4.9	31	26
1955-09-24	0	5.45	30	24.5
1955-09-25	0	5.45	31.5	23.5
1955-09-26	3.5	4	34.5	23.4
1955-09-27	0	4.6	27.5	22.2
1955-09-28	0	6.4	31.5	24.3
1955-09-29	0	6.6	33.5	24.4
1955-09-30	0	7.75	43	24.5
1955-10-01	54.5	8.1	30	27
1955-10-02	5.8	0.9	29.5	22.8
1955-10-03	3.5	0.55	26.8	24.5
1955-10-04	10.5	0.55	28	24.4
1955-10-05	0	3.55	29	22.5
1955-10-06	0	3.85	27.2	22.4
1955-10-07	0	3.55	30.2	23.5
1955-10-08	0	4.75	31.2	22.8
1955-10-09	0	3.85	30	22
1955-10-10	0	5.4	30.1	22.5
1955-10-11	0	5.3	28.7	22
1955-10-12	0	5.75	31.8	21.4
1955-10-13	0	5.95	31	20.4
1955-10-14	0	6.15	30.6	21
1955-10-15	0	4.6	30	22
1955-10-16	0	3.8	29	22.1
1955-10-17	0	7.25	27.5	22.5
1955-10-18	0	4.6	23.5	19
1955-10-19	0	5	25.5	19.1
1955-10-20	0	4.55	28.5	20
1955-10-21	0	5.25	33	19.9
1955-10-22	0	4.75	36	18.5
1955-10-23	0	5.15	23.5	18.8
1955-10-24	0	5.85	31.5	18
1955-10-25	0	6	30	19.6
1955-10-26	0	5.4	22.2	20.3
1955-10-27	0	5.8	22.3	18.5
1955-10-28	0	5.35	30	17.2
1955-10-29	0	5.2	30.5	17.8
